Hora JP;Hora PT;Modalidade;Atleta;Ronda/Adversário
09:00:00;01:00:00;Atletismo;Nelson Évora;Triplo salto (Q)
09:00:00;01:00:00;Atletismo;Pedro Pichardo;Triplo salto (Q)
09:00:00;01:00:00;Atletismo;Tiago Pereira;Triplo salto (Q)
09:30:00;01:30:00;Canoagem;Teresa Portela;K1 200 (MF)
09:30:00;01:30:00;Canoagem;Joana Vasconcelos;K1 200 (MF)
01:30:00;01:45:00;Atletismo;Cátia Azevedo;400m (Q)
10:00:00;02:00:00;Canoagem;Teresa Portela;K1 200 (F)
10:00:00;02:00:00;Canoagem;Joana Vasconcelos;K1 200 (F)
11:30:00;03:30:00;Canoagem;Fernando Pimenta;K1 1000 (MF)
12:13:00;04:13:00;Canoagem;Fernando Pimenta;K1 1000 (F)
14:30:00;06:30:00;Ténis de mesa (quartos-de-final);Equipa masculina;a definir
19:00:00;11:00:00;Equestre;Luciana Diniz;Obstáculos (Q)
19:15:00;11:15:00;Atletismo;Francisco Belo;Peso (Q)
21:50:00;13:50:00;Atletismo;Lorene Bazolo;200 m (F)
